"target","m","v","sigma","mean","median","var","bci_lwr","bci_upr","hpd_lwr","hpd_upr","percentile","p","eff","rho","v_p.asymp_var","v_p.iid_var"
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_upr_p",0.950114590993966,0.005,0.992366388170045,5.37390134157331,0.0473968549743347
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_lwr_p",0.0249999999999997,0.01,0.980215241280974,0.90318957397736,0.0243749999999997
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_lwr_p",0.025,0.01,0.980671984903479,0.924539500858008,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_lwr_p",0.025,0.01,0.984784758370625,1.17408551677895,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_upr_p",0.975,0.01,0.980215241280974,0.903189573977368,0.024375
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_upr_p",0.975,0.01,0.980671984903479,0.924539500858015,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_upr_p",0.975,0.01,0.984784758370625,1.17408551677894,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_lwr_p",0.0229971901202388,0.01,0.980215241280974,0.815539860276184,0.0224683193668124
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_lwr_p",0.00923741180576316,0.01,0.980671984903479,0.273538708522531,0.00915208202889391
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_lwr_p",0.000114590993965996,0.01,0.984784758370625,0.00201323356268308,0.000114577862870098
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_upr_p",0.972997190120239,0.01,0.980215241280974,0.992328704111679,0.0262736581383585
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_upr_p",0.959237411805763,0.01,0.980671984903479,1.6756591783967,0.039100999597944
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_upr_p",0.950114590993966,0.01,0.984784758370625,2.71327117177251,0.0473968549743347
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_lwr_p",0.0249999999999997,0.02,0.96078036289256,0.454300849116076,0.0243749999999997
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_lwr_p",0.025,0.02,0.96167137936631,0.464944805426904,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_lwr_p",0.025,0.02,0.96976751944463,0.5903538381035,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_upr_p",0.975,0.02,0.96078036289256,0.454300849116073,0.024375
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_upr_p",0.975,0.02,0.96167137936631,0.464944805426908,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_upr_p",0.975,0.02,0.96976751944463,0.590353838103497,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_lwr_p",0.0229971901202388,0.02,0.96078036289256,0.410243995633359,0.0224683193668124
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_lwr_p",0.00923741180576316,0.02,0.96167137936631,0.13770513273141,0.00915208202889391
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_lwr_p",0.000114590993965996,0.02,0.96976751944463,0.00101882293706422,0.000114577862870098
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_upr_p",0.972997190120239,0.02,0.96078036289256,0.499104638390893,0.0262736581383585
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_upr_p",0.959237411805763,0.02,0.96167137936631,0.842392697341032,0.039100999597944
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_upr_p",0.950114590993966,0.02,0.96976751944463,1.36421378027959,0.0473968549743347
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_lwr_p",0.0249999999999997,0.05,0.904784917497274,0.185215998163746,0.0243749999999997
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_lwr_p",0.025,0.05,0.906881200638619,0.18944410477171,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_lwr_p",0.025,0.05,0.926098608238637,0.239459996527217,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_upr_p",0.975,0.05,0.904784917497274,0.185215998163736,0.024375
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_upr_p",0.975,0.05,0.906881200638619,0.189444104771711,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_upr_p",0.975,0.05,0.926098608238637,0.239459996527216,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_lwr_p",0.0229971901202388,0.05,0.904784917497274,0.167342620565257,0.0224683193668124
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_lwr_p",0.00923741180576316,0.05,0.906881200638619,0.0564972588047943,0.00915208202889391
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_lwr_p",0.000114590993965996,0.05,0.926098608238637,0.000429248163564776,0.000114577862870098
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_upr_p",0.972997190120239,0.05,0.904784917497274,0.203385516494349,0.0262736581383585
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_upr_p",0.959237411805763,0.05,0.906881200638619,0.342305193648457,0.039100999597944
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_upr_p",0.950114590993966,0.05,0.926098608238637,0.551994817564975,0.0473968549743347
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_lwr_p",0.0249999999999997,0.0625,0.882383869314931,0.14950954430482,0.0243749999999997
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_lwr_p",0.025,0.0625,0.884939516527414,0.152874454209835,0.024375
